"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Rpsa",3.4263500896229e-10,-0.699234651855279,0.273,0.466,8.58197906947848e-06,"Rpsa","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Eif4a2",3.46000467878516e-10,-0.508522100994772,0.482,0.673,8.6662737189532e-06,"Eif4a2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Grik2",3.64738292807689e-10,-0.271688706765701,0.969,0.992,9.1356000199542e-06,"Grik2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Atp1b1",3.88739893927334e-10,-0.392748026189053,0.819,0.911,9.73676812319795e-06,"Atp1b1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Pgam1",4.10341271384591e-10,-0.965996964976087,0.141,0.303,1.02778178243698e-05,"Pgam1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Neurod6",4.25167576906771e-10,-0.521777650850511,0.476,0.669,1.06491722987839e-05,"Neurod6","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rpl23",4.32750780128739e-10,-0.591533877788153,0.187,0.357,1.08391087898845e-05,"Rpl23","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Peak1",4.56494728108806e-10,-0.700033020002473,0.493,0.664,1.14338234549413e-05,"Peak1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Magi2",5.21132393078632e-10,-0.216968675428769,0.989,0.997,1.30528030494405e-05,"Magi2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Atp2a2",5.68423158278866e-10,-0.420190564832311,0.72,0.861,1.42372948454107e-05,"Atp2a2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ranbp3",6.67151983172687e-10,-0.689709777488005,0.176,0.345,1.67101557225263e-05,"Ranbp3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rnasek",6.77437746835089e-10,-0.821695198454527,0.222,0.404,1.69677832449785e-05,"Rnasek","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Atp5g3",7.40830351774551e-10,-0.773329698448874,0.198,0.379,1.85555778208972e-05,"Atp5g3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Lsamp",8.46714712051158e-10,-0.18636098574116,0.996,1,2.12076633927454e-05,"Lsamp","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Wasl",9.04707006284151e-10,-0.577202477511813,0.416,0.599,2.26601963863991e-05,"Wasl","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Pgrmc1",9.82075218540673e-10,-0.651897251008799,0.2,0.377,2.45980379987882e-05,"Pgrmc1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ndn",9.93477960741846e-10,-0.609876658601449,0.209,0.393,2.4883642482701e-05,"Ndn","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rpl27",1.03380288099108e-09,-0.884452332345882,0.119,0.277,2.58936607601837e-05,"Rpl27","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Mbd5",1.05515274408024e-09,-0.290860619350308,0.927,0.974,2.64284107809778e-05,"Mbd5","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Slc25a4",1.10856525970892e-09,-0.598614209734505,0.416,0.601,2.77662340599294e-05,"Slc25a4","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
